"","county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"1","wabasha county","MN",47.44,49.7,8.3,5.1,"metro"
"2","johnson county","GA",125,283.1,3,18.5,"non-metro"
"3","iron county","MO",77.2,103.4,130.6,15.9,"non-metro"
"4","kosciusko county","IN",42.14,52.1,64.2,12.4,"non-metro"
"5","delaware county","OK",49.22,77.9,78.7,18.6,"non-metro"
"6","scurry county","TX",141,70.7,81.5,14.8,"non-metro"
"7","jefferson county","MS",81.5,360,0.3,11.2,"non-metro"
"8","lee county","IA",68.44,37.7,110.2,6.8,"non-metro"
"9","santa fe county","NM",9.17,338.8,72.9,15.7,"metro"
"10","cass county","MO",31.23,97.6,95.1,8.4,"metro"
"11","montgomery county","IL",39.88,156.8,106.1,5.9,"non-metro"
"12","berkshire county","MA",104.09,153.7,51.8,3,"metro"
"13","webster county","MO",107.8,88.1,87.9,16.8,"metro"
"14","pontotoc county","MS",185,102.1,85,18.4,"non-metro"
"15","granville county","NC",21.5,-1,62.3,11.7,"non-metro"
"16","darlington county","SC",73.17,466.1,140.4,14.7,"metro"
"17","lawrence county","AR",163.15,49.8,35.8,12.7,"non-metro"
"18","greer county","OK",214.33,217.2,35.9,16.4,"non-metro"
"19","hart county","KY",29.86,-1,57.3,14.4,"non-metro"
"20","rogers county","OK",89.57,85.8,92.1,12.1,"metro"
"21","decatur county","IN",39.5,63.6,58.2,11.2,"non-metro"
"22","mecklenburg county","NC",21.56,635.6,47.4,13.9,"metro"
"23","gillespie county","TX",313,61.9,71.1,18.2,"non-metro"
"24","buena vista county","IA",109.38,121.6,37.4,12,"non-metro"
"25","lenawee county","MI",21,58.4,81.7,8.5,"non-metro"
"26","clinton county","IN",22.43,65,61.2,12.2,"non-metro"
"27","lebanon county","PA",60.18,39.7,48.1,10.8,"metro"
"28","york county","PA",42.1,70.8,51.6,7.2,"metro"
"29","calhoun county","GA",155.75,518.5,1.3,19.7,"non-metro"
"30","webb county","TX",436,215.3,24.9,30.2,"metro"
"31","vernon parish","LA",126.89,146.5,70.3,11.6,"non-metro"
"32","lawrence county","TN",77.38,96.5,130,16.2,"non-metro"
"33","garfield county","NE",300,-1,75.8,8.8,"non-metro"
"34","hardy county","WV",71.71,76.8,71.3,10.8,"non-metro"
"35","starr county","TX",510,74.4,33.7,35.1,"non-metro"
"36","lincoln county","SD",146.5,30.3,35.3,4.8,"metro"
"37","switzerland county","IN",28,125.9,39.7,14.2,"non-metro"
"38","meade county","SD",267.67,97.5,12.9,10.7,"metro"
"39","thomas county","GA",197.88,370,102.8,16.9,"non-metro"
"40","erie county","NY",12.64,289.6,59.1,4.8,"metro"
"41","hale county","AL",199.6,436,98.7,11.1,"metro"
"42","dekalb county","GA",9.36,1203.3,40.6,17.1,"metro"
"43","bulloch county","GA",173.83,355.6,77.7,14.7,"non-metro"
"44","wayne county","GA",205.5,328.9,136.1,20.1,"non-metro"
"45","bay county","MI",47.3,92.7,86.6,7.4,"metro"
"46","logan county","OH",40.5,55.7,72.1,10.6,"non-metro"
"47","henry county","VA",41.62,103.4,63.4,12.5,"non-metro"
"48","champaign county","IL",11.41,196.6,58.8,6.7,"metro"
"49","hendry county","FL",84.33,377.2,65.8,29.8,"non-metro"
"50","polk county","IA",109.03,190.9,70.1,6.3,"metro"
"51","dickson county","TN",35.14,134,119.5,11.7,"metro"
"52","scott county","KS",210,-1,90.4,4.1,"non-metro"
"53","columbia county","WA",28,257.6,100.4,7.7,"metro"
"54","allegany county","MD",58.6,210.2,109.9,6.8,"metro"
"55","woodruff county","AR",169.5,141.8,2.7,16.3,"non-metro"
"56","baltimore city","MD",3.76,2150.7,48.5,9,"metro"
"57","yuma county","AZ",120.8,154.2,48.5,18,"metro"
"58","sonoma county","CA",13.11,331,46,10.1,"metro"
"59","liberty county","GA",213.29,380.5,52.9,13.8,"metro"
"60","new castle county","DE",7.69,430.6,65,6.9,"metro"
"61","ashe county","NC",44.45,-1,92,16.1,"non-metro"
"62","page county","IA",116.33,75.6,100.7,8.3,"non-metro"
"63","mccormick county","SC",73.83,321.5,2.3,9.1,"non-metro"
"64","addison county","VT",165.88,95.7,41.7,5.2,"non-metro"
"65","litchfield county","CT",67.59,144.1,52,6,"non-metro"
"66","lewis county","TN",64,79.3,134.5,14.7,"non-metro"
"67","harris county","GA",75.25,129,4.7,11.3,"metro"
"68","assumption parish","LA",43,140.6,29.2,13.8,"non-metro"
"69","putnam county","OH",46,36,33.6,4,"non-metro"
"70","pope county","AR",71.62,99.5,105.8,11.7,"non-metro"
"71","greene county","AR",162.6,103.2,166.8,11.8,"non-metro"
"72","carbon county","MT",254.5,54.1,24.4,11.4,"metro"
"73","morgan county","CO",66.25,101.4,60.4,9.4,"non-metro"
"74","utah county","UT",35.82,40.3,52.9,10.3,"metro"
"75","bennington county","VT",149.12,154.4,62.5,4.8,"non-metro"
"76","mobile county","AL",124.76,510.8,118.4,13.2,"metro"
"77","baldwin county","AL",146.5,166.5,106.7,11.8,"metro"
"78","harvey county","KS",167.43,-1,80.9,8.8,"metro"
"79","val verde county","TX",247.75,113.9,35.9,22.8,"non-metro"
"80","wayne county","TN",91.17,109.1,131.1,12.1,"non-metro"
"81","auglaize county","OH",50.5,55.3,43.6,5.5,"non-metro"
"82","huntingdon county","PA",95.48,48.1,49.9,7.6,"non-metro"
"83","union county","OR",55.14,68.7,101,10.9,"non-metro"
"84","ellis county","TX",296.38,197.8,67.3,16.6,"metro"
"85","otero county","NM",30.71,104,50.7,14,"non-metro"
"86","sevier county","TN",44.5,103.4,99.5,18.3,"non-metro"
"87","lawrence county","IN",18.56,98.5,113.6,12.1,"non-metro"
"88","morehouse parish","LA",160.2,304,111.9,15.9,"non-metro"
"89","washington county","TN",7,211.6,94.5,11.1,"metro"
"90","pitkin county","CO",88.5,156.3,22.2,13.7,"non-metro"
"91","christian county","KY",57.78,173,56.2,12,"metro"
"92","jasper county","MO",84.44,169.2,125.8,14.2,"metro"
"93","curry county","OR",43.17,69.4,133.8,10,"non-metro"
"94","hamblen county","TN",48.8,107.1,143.6,14.6,"metro"
"95","mcpherson county","KS",172.75,-1,75.9,6,"non-metro"
"96","jefferson davis parish","LA",95.57,238.5,88.4,11.9,"non-metro"
"97","oconto county","WI",35.18,24.9,29.6,5.9,"metro"
"98","presidio county","TX",170.67,86.9,3.3,35.9,"non-metro"
"99","camden county","MO",120.6,91.6,93,16.4,"non-metro"
"100","clermont county","OH",18.59,79.1,73,7.3,"metro"
"101","mille lacs county","MN",49.12,66.1,62.4,7.1,"metro"
"102","scott county","MN",23.62,87.2,33.3,5.1,"metro"
"103","fayette county","PA",23.23,27.1,107,7.6,"metro"
"104","poinsett county","AR",194.38,110.5,112.5,13.9,"metro"
"105","lake county","TN",150,341.8,58.1,13,"non-metro"
"106","windham county","VT",155.78,175.2,60.1,6.2,"non-metro"
"107","albemarle county","VA",100.46,156,49.1,8,"metro"
"108","poquoson city","VA",114,58.6,66,3.9,"metro"
"109","edgar county","IL",37.75,60.2,76.4,7.4,"non-metro"
"110","decatur county","TN",85.25,100.6,136.5,11.2,"non-metro"
"111","tuolumne county","CA",50.93,92.8,101.6,8.7,"non-metro"
"112","gwinnett county","GA",23.94,351.5,43.5,18.3,"metro"
"113","wyandotte county","KS",7.25,292.3,60.9,21,"metro"
"114","washington county","NC",42.33,-1,88.5,15.3,"non-metro"
"115","fayette county","GA",25,191.3,79.2,7.7,"metro"
"116","franklin county","NY",145.4,562,63.8,8.7,"non-metro"
"117","rains county","TX",235.5,112.8,62.5,18.9,"non-metro"
"118","knox county","OH",40.88,49,45.5,10.9,"non-metro"
"119","caldwell parish","LA",116.33,226.2,46.7,21.2,"non-metro"
"120","daviess county","KY",56.71,119.4,91.4,7.8,"metro"
"121","cowley county","KS",169.75,-1,91.7,11.4,"non-metro"
"122","clearfield county","PA",88,25.8,61.3,8.5,"non-metro"
"123","susquehanna county","PA",28.87,27.9,48,10.2,"non-metro"
"124","buchanan county","IA",63.09,52.7,32.2,7.9,"non-metro"
"125","burleigh county","ND",178.09,71.7,58.4,6.9,"metro"
"126","denver county","CO",2.66,962.7,35.1,13,"metro"
"127","scott county","KY",12.67,-1,70.9,8.3,"metro"
"128","dorchester county","MD",58.06,516,67.9,6.5,"non-metro"
"129","jackson county","MS",93.29,223.4,86.4,16,"metro"
"130","carter county","TN",12,97.9,98.8,13.8,"metro"
"131","somerset county","PA",51.47,25.9,60.9,8.2,"non-metro"
"132","campbell county","VA",55.86,117.9,32.9,9.7,"metro"
"133","richardson county","NE",95,-1,45.9,6.9,"non-metro"
"134","berkeley county","SC",138.67,266.1,54,13.3,"metro"
"135","delta county","CO",40.71,53.8,77,16,"non-metro"
"136","montgomery county","MS",223.67,362.1,86,9.4,"non-metro"
"137","miami county","OH",21.55,69.8,60.2,7.9,"metro"
"138","grayson county","TX",219.82,167.4,95,17.5,"metro"
"139","norfolk city","VA",106.43,687.7,53.9,14.6,"metro"
"140","franklin county","MO",42.95,78.2,88.1,9.5,"metro"
"141","jefferson county","WI",29.5,37.5,54.6,6.2,"non-metro"
"142","middlesex county","NJ",24.77,280.8,36.5,10.3,"metro"
"143","ashland county","WI",69,60.7,73.5,8.4,"non-metro"
"144","concordia parish","LA",71.33,302.3,91.5,26.4,"non-metro"
"145","sumter county","AL",214,323.2,36.4,18.2,"non-metro"
"146","jefferson county","MO",24.56,92.5,72.8,9.6,"metro"
"147","miller county","AR",186.5,295.3,102.5,15.6,"metro"
"148","carroll county","KY",25.67,-1,137.9,11.9,"non-metro"
"149","cortland county","NY",21.4,159.3,58.2,5.9,"non-metro"
"150","miami county","IN",48.88,140.2,58.7,10,"non-metro"
"151","taylor county","TX",209.07,208.8,99.6,15.7,"metro"
"152","monroe county","NY",6.74,364.6,42.7,5.2,"metro"
"153","boone county","MO",113,139,40.9,8,"metro"
"154","lyon county","NV",77.17,109.6,83.3,15,"non-metro"
"155","antelope county","NE",245.29,-1,43.5,8.6,"non-metro"
"156","larimer county","CO",17.11,88,52.7,8.5,"metro"
"157","yancey county","NC",19.5,-1,84.3,13.8,"non-metro"
"158","louisa county","VA",80,109.9,41.9,14.5,"non-metro"
"159","cumberland county","IL",58.33,54.7,0.6,6.2,"non-metro"
"160","outagamie county","WI",8.8,69.8,50.3,5.6,"metro"
"161","coryell county","TX",341.1,422.4,60,10.2,"metro"
"162","acadia parish","LA",74,220.1,72.1,15.6,"metro"
"163","douglas county","MO",108,159.3,79.3,17,"non-metro"
"164","washington county","OR",14.71,169.8,44.3,9.5,"metro"
"165","florence county","SC",81.09,652.9,121.9,11.9,"metro"
"166","fairbanks north star borough","AK",150.25,-1,42.9,11.6,"metro"
"167","tyler county","TX",186.12,226.8,48.4,16.1,"non-metro"
"168","hill county","TX",325.8,112.7,60.3,19.7,"non-metro"
"169","edgefield county","SC",84.2,534.3,54.9,11,"metro"
"170","douglas county","MN",88.3,44.6,79.9,4.7,"non-metro"
"171","mississippi county","AR",186.64,204,138.4,13.8,"non-metro"
"172","clark county","KY",0,-1,90.5,9,"metro"
"173","plymouth county","IA",149.38,57.8,42,5.6,"metro"
"174","person county","NC",7.5,-1,92.1,11.9,"metro"
"175","highland county","OH",37.43,53.2,90.1,11.3,"non-metro"
"176","kershaw county","SC",80.71,314.9,75.8,12.3,"metro"
"177","orange county","VT",202.29,103.4,34.4,6.1,"non-metro"
"178","putnam county","TN",53.86,153.3,125.5,12.4,"non-metro"
"179","blaine county","OK",244.62,168.6,1.2,11.8,"non-metro"
"180","faulkner county","AR",112.82,143.9,89.9,11.7,"metro"
"181","lawrence county","IL",71.5,63.8,76.6,8.7,"non-metro"
"182","ottawa county","OH",23.21,31.2,61.3,7,"non-metro"
"183","clay county","MO",16.56,181.5,78,9.1,"metro"
"184","lehigh county","PA",46.94,117.9,39.3,8.9,"metro"
"185","shoshone county","ID",68.33,47,95.5,15.3,"non-metro"
"186","clay county","MS",209.5,270.8,103.6,15.3,"non-metro"
"187","harlan county","KY",35.81,-1,120.8,12.1,"non-metro"
"188","brazos county","TX",304.86,204.8,47.9,14.1,"metro"
"189","jackson county","OR",16.07,136.4,92.9,11.5,"metro"
"190","suffolk county","NY",39.21,241.2,45.4,7.6,"metro"
"191","coahoma county","MS",229.89,904.3,115.1,16.1,"non-metro"
"192","rock county","MN",116,77.7,54.1,7.4,"non-metro"
"193","mitchell county","KS",197.67,-1,86.3,6.6,"non-metro"
"194","pettis county","MO",75.14,57.7,69.4,14.5,"non-metro"
"195","newton county","TX",151,65.8,25.5,17.8,"metro"
"196","king william county","VA",80,87.3,29.8,8.2,"metro"
"197","jack county","TX",295.5,161.8,1.3,18.9,"non-metro"
"198","wayne county","WV",14.85,40.3,61.6,10.9,"metro"
"199","benton county","IN",24.5,84.3,20.1,13.2,"metro"
"200","pulaski county","GA",113,284.9,90.5,16.4,"metro"
"201","todd county","KY",41.6,-1,5,19.1,"non-metro"
"202","anchorage municipality","AK",116.76,-1,59.4,14.5,"metro"
"203","benton county","MS",167.5,242.3,59.8,18.4,"metro"
"204","ulster county","NY",70.09,382.6,59,8.4,"metro"
"205","walker county","GA",91.33,162.6,46.8,15.3,"metro"
"206","suffolk county","MA",172.97,829.6,26.8,4.4,"metro"
"207","caldwell county","NC",13.2,-1,119.1,14.5,"metro"
"208","ben hill county","GA",155,149.9,176.9,19.5,"non-metro"
"209","sussex county","DE",76.64,331.8,80.1,8.6,"metro"
"210","pierce county","WI",32.82,34,31.5,6.2,"metro"
"211","jackson county","AL",102.12,74.3,138.6,11.9,"non-metro"
"212","trempealeau county","WI",25.55,32.9,14.1,8.2,"non-metro"
"213","bertie county","NC",41.86,-1,25,13.6,"non-metro"
"214","grayson county","VA",58.83,85.8,19.8,11.4,"non-metro"
"215","essex county","MA",190.65,279.3,39.4,3.5,"metro"
"216","greene county","MO",94.8,222.7,97.7,13,"metro"
"217","spotsylvania county","VA",56.2,133.2,54.5,10.2,"metro"
"218","palm beach county","FL",53.69,628.1,53.4,16,"metro"
"219","pulaski county","VA",65.33,70.1,111,9.6,"metro"
"220","kitsap county","WA",7.35,133.1,56.8,7.7,"metro"
"221","wright county","MN",25.36,41.7,46.6,4.2,"metro"
"222","harlan county","NE",266.2,-1,82.4,10.9,"non-metro"
"223","phelps county","MO",104.86,34.2,80.8,10.3,"non-metro"
"224","dekalb county","AL",96.53,88.3,103.2,16,"non-metro"
"225","cottonwood county","MN",59.67,95.6,77.8,5.3,"non-metro"
"226","marshall county","KY",99.25,-1,101.5,7.2,"non-metro"
"227","polk county","TN",61.89,89.7,111.9,10.8,"metro"
"228","greene county","IL",44.8,53.6,2.3,8.4,"non-metro"
"229","jackson county","WI",36.25,63.8,22.9,10.1,"non-metro"
"230","ketchikan gateway borough","AK",227,-1,77.4,15.5,"non-metro"
"231","simpson county","KY",23,-1,90.1,11.5,"non-metro"
"232","reno county","KS",202.77,60.5,97.5,10.8,"non-metro"
"233","cherokee county","NC",30.67,-1,117.5,18.4,"non-metro"
"234","twin falls county","ID",173.12,22.6,91.9,15,"non-metro"
"235","noble county","OK",177.83,116.1,6.6,10.2,"non-metro"
"236","meeker county","MN",55.17,52.4,26,6.2,"non-metro"
"237","york county","ME",238.06,129.7,52.9,8.7,"metro"
"238","scotland county","NC",31.4,-1,168.3,13.5,"non-metro"
"239","stone county","AR",107.57,64.9,154.1,11.7,"non-metro"
"240","pawnee county","KS",262,-1,45.9,7.9,"non-metro"
"241","scott county","VA",30,51.9,136.1,11.5,"metro"
"242","giles county","VA",54.22,89.9,98.1,13.6,"metro"
"243","marshall county","AL",115.78,115.4,163.9,15.4,"non-metro"
"244","glynn county","GA",244.57,424.2,93.7,16.3,"metro"
"245","charles county","MD",25.71,342.5,71.3,4.4,"metro"
"246","butler county","PA",32.19,14.4,57,5.1,"metro"
"247","hardin county","TX",192,118.6,90.4,17.6,"metro"
"248","macon county","AL",123.67,496.6,44.6,10.8,"non-metro"
"249","elk county","KS",146.2,-1,3,11.6,"non-metro"
